problem_id,nudge_type,payoff,decision_cost,max_payoff
10248772509457869291,greedy,162.0,7.0,162.0
10248772509457869291,none,201.0,6.0,201.0
10248772509457869291,greedy,171.0,7.0,171.0
10248772509457869291,none,197.0,6.0,197.0
10248772509457869291,greedy,193.0,4.0,193.0
10248772509457869291,none,184.0,4.0,192.0
10248772509457869291,greedy,194.0,6.0,194.0
10248772509457869291,none,214.0,4.0,226.0
10248772509457869291,greedy,180.0,8.0,180.0
10248772509457869291,none,165.0,7.0,165.0
10248772509457869291,greedy,173.0,4.0,191.0
10248772509457869291,none,199.0,4.0,199.0
10248772509457869291,greedy,190.0,2.0,190.0
10248772509457869291,none,162.0,2.0,180.0
10248772509457869291,greedy,163.0,7.0,163.0
10248772509457869291,none,203.0,8.0,203.0
10248772509457869291,greedy,165.0,2.0,165.0
10248772509457869291,none,168.0,8.0,168.0
10248772509457869291,greedy,204.0,2.0,204.0
10248772509457869291,none,186.0,5.0,186.0
13429338967322520089,greedy,194.0,4.0,197.0
13429338967322520089,none,155.0,4.0,170.0
13429338967322520089,greedy,188.0,4.0,188.0
13429338967322520089,none,192.0,2.0,192.0
13429338967322520089,greedy,200.0,5.0,200.0
13429338967322520089,none,168.0,9.0,168.0
13429338967322520089,greedy,151.0,5.0,155.0
13429338967322520089,none,169.0,9.0,169.0
13429338967322520089,greedy,172.0,2.0,175.0
13429338967322520089,none,187.0,3.0,187.0
13429338967322520089,greedy,179.0,5.0,179.0
13429338967322520089,none,157.0,6.0,179.0
13429338967322520089,greedy,200.0,1.0,200.0
13429338967322520089,none,228.0,1.0,228.0
13429338967322520089,greedy,183.0,6.0,183.0
13429338967322520089,none,193.0,1.0,193.0
13429338967322520089,greedy,192.0,2.0,192.0
13429338967322520089,none,191.0,3.0,191.0
13429338967322520089,greedy,237.0,1.0,237.0
13429338967322520089,none,211.0,1.0,211.0
15613233775200302833,greedy,163.0,3.0,167.0
15613233775200302833,none,181.0,4.0,181.0
15613233775200302833,greedy,190.0,4.0,190.0
15613233775200302833,none,133.0,5.0,143.0
15613233775200302833,greedy,182.0,4.0,182.0
15613233775200302833,none,173.0,11.0,173.0
15613233775200302833,greedy,166.0,6.0,166.0
15613233775200302833,none,181.0,5.0,181.0
15613233775200302833,greedy,128.0,5.0,143.0
15613233775200302833,none,183.0,4.0,183.0
15613233775200302833,greedy,191.0,3.0,191.0
15613233775200302833,none,170.0,9.0,170.0
15613233775200302833,greedy,139.0,5.0,144.0
15613233775200302833,none,127.0,5.0,157.0
15613233775200302833,greedy,176.0,9.0,184.0
15613233775200302833,none,193.0,5.0,193.0
15613233775200302833,greedy,179.0,3.0,179.0
15613233775200302833,none,173.0,4.0,173.0
15613233775200302833,greedy,172.0,3.0,172.0
15613233775200302833,none,181.0,4.0,181.0
1191937106576098455,greedy,147.0,1.0,150.0
1191937106576098455,none,155.0,7.0,155.0
1191937106576098455,greedy,128.0,6.0,149.0
1191937106576098455,none,148.0,3.0,151.0
1191937106576098455,greedy,139.0,5.0,145.0
1191937106576098455,none,145.0,5.0,145.0
1191937106576098455,greedy,147.0,5.0,147.0
1191937106576098455,none,154.0,11.0,158.0
1191937106576098455,greedy,146.0,5.0,146.0
1191937106576098455,none,157.0,5.0,157.0
1191937106576098455,greedy,150.0,10.0,150.0
1191937106576098455,none,127.0,6.0,151.0
1191937106576098455,greedy,138.0,7.0,139.0
1191937106576098455,none,154.0,7.0,154.0
1191937106576098455,greedy,129.0,7.0,145.0
1191937106576098455,none,147.0,13.0,147.0
1191937106576098455,greedy,162.0,5.0,162.0
1191937106576098455,none,145.0,8.0,155.0
1191937106576098455,greedy,132.0,7.0,145.0
1191937106576098455,none,156.0,10.0,156.0
13593705341375067254,greedy,187.0,1.0,187.0
13593705341375067254,none,141.0,11.0,156.0
13593705341375067254,greedy,170.0,8.0,170.0
13593705341375067254,none,141.0,4.0,149.0
13593705341375067254,greedy,179.0,3.0,179.0
13593705341375067254,none,204.0,1.0,204.0
13593705341375067254,greedy,167.0,10.0,167.0
13593705341375067254,none,171.0,4.0,171.0
13593705341375067254,greedy,144.0,5.0,165.0
13593705341375067254,none,141.0,10.0,157.0
13593705341375067254,greedy,142.0,13.0,160.0
13593705341375067254,none,187.0,1.0,187.0
13593705341375067254,greedy,164.0,8.0,164.0
13593705341375067254,none,189.0,1.0,189.0
13593705341375067254,greedy,148.0,4.0,159.0
13593705341375067254,none,178.0,1.0,178.0
13593705341375067254,greedy,142.0,16.0,160.0
13593705341375067254,none,153.0,3.0,156.0
13593705341375067254,greedy,155.0,3.0,155.0
13593705341375067254,none,149.0,3.0,153.0
9461589908501406064,greedy,190.0,7.0,190.0
9461589908501406064,none,169.0,7.0,169.0
9461589908501406064,greedy,192.0,5.0,192.0
9461589908501406064,none,178.0,2.0,200.0
9461589908501406064,greedy,207.0,5.0,207.0
9461589908501406064,none,197.0,2.0,230.0
9461589908501406064,greedy,215.0,2.0,215.0
9461589908501406064,none,197.0,6.0,197.0
9461589908501406064,greedy,204.0,5.0,204.0
9461589908501406064,none,198.0,4.0,198.0
9461589908501406064,greedy,174.0,7.0,177.0
9461589908501406064,none,197.0,4.0,197.0
9461589908501406064,greedy,195.0,1.0,212.0
9461589908501406064,none,204.0,2.0,222.0
9461589908501406064,greedy,214.0,5.0,214.0
9461589908501406064,none,198.0,4.0,198.0
9461589908501406064,greedy,192.0,5.0,192.0
9461589908501406064,none,202.0,2.0,219.0
9461589908501406064,greedy,198.0,7.0,198.0
9461589908501406064,none,184.0,1.0,205.0
12011920647772288795,greedy,189.0,6.0,194.0
12011920647772288795,none,214.0,4.0,214.0
12011920647772288795,greedy,176.0,5.0,187.0
12011920647772288795,none,168.0,8.0,186.0
12011920647772288795,greedy,169.0,4.0,188.0
12011920647772288795,none,198.0,4.0,198.0
12011920647772288795,greedy,188.0,13.0,188.0
