"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","experiment_type","trial_nudge","nudge_index","chose_nudge","og_baskets","shown_baskets","num_features","cost","reaction_time","naive","trial_type","trial_index","time_elapsed","nudge_type","participant_id"
"13","mouselab","False","[8, 8]","[[4, 3, 5, 5, 5], [4, 4, 5, 6, 2]]","[[2, 2, 2, 2, 2], [2, 2, 0, 2, 2]]","[4, 26]",22,3,2,0.05,0.0493333333333333,0.000666666666666667,"[8]","supersize","control",-1,"False",5,5,2,2,5125,"False","implicit-mouselab",7,137040,"supersize",1
"14","mouselab","False","[12, 12]","[[6, 8, 7, 8, 6], [4, 3, 9, 4, 6], [5, 6, 7, 7, 5], [4, 4, 5, 5, 4], [5, 4, 5, 4, 8]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 5, 10, 5, 8]",12,4,0,0.047,0.0463333333333333,0.000666666666666667,"[12]","supersize","control",-1,"False",5,5,5,2,3749,"False","implicit-mouselab",8,142636,"supersize",1
"15","mouselab","False","[]","[[3, 6, 4, 7, 5, 4], [5, 5, 6, 6, 4, 5], [3, 5, 5, 5, 3, 3], [4, 5, 6, 6, 5, 5], [4, 4, 7, 3, 5, 5]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[4, 3, 8, 2, 13]",18,5,1,0.047,0.047,0,"[]","supersize","pre-supersize",1,"True",5,6,5,2,4760,"False","implicit-mouselab",9,150124,"supersize",1
"16","mouselab","False","[9, 9]","[[6, 5, 4, 3, 5], [6, 8, 2, 5, 2], [7, 4, 7, 4, 6], [2, 5, 6, 6, 3], [5, 6, 5, 3, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 13, 4, 2, 7]",16,6,3,0.042,0.0413333333333333,0.000666666666666667,"[9]","supersize","control",-1,"False",5,5,5,2,5378,"False","implicit-mouselab",10,157016,"supersize",1
"17","mouselab","False","[6, 6, 7, 7]","[[6, 3, 6, 4, 5, 3], [3, 7, 7, 2, 7, 3], [1, 4, 7, 4, 3, 6], [3, 4, 7, 6, 7, 6], [4, 4, 5, 3, 4, 1]]","[[2, 2, 2, 2, 2, 2], [0, 0, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[9, 10, 3, 2, 6]",14,7,1,0.047,0.0456666666666667,0.00133333333333333,"[6, 7]","supersize","post-supersize",5,"False",5,6,5,2,9655,"False","implicit-mouselab",11,168366,"supersize",1
"18","mouselab","False","[2, 2, 3, 3]","[[9, 4, 3, 9, 1, 5], [5, 4, 4, 6, 6, 9]]","[[2, 2, 0, 0, 2, 2], [2, 2, 2, 2, 2, 2]]","[22, 8]",14,8,3,0.082,0.0806666666666667,0.00133333333333333,"[2, 3]","supersize","pre-supersize",1,"False",5,6,2,2,7816,"False","implicit-mouselab",12,178540,"supersize",1
"19","mouselab","False","[9, 9, 10, 10]","[[1, 7, 4, 7, 6], [7, 4, 7, 6, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 0]]","[2, 28]",26,9,3,0.061,0.0596666666666667,0.00133333333333333,"[9, 10]","supersize","control",-1,"False",5,5,2,2,5264,"False","implicit-mouselab",13,185452,"supersize",1
"20","mouselab","False","[6, 6, 7, 7, 8, 8]","[[2, 3, 7, 5, 1, 6], [4, 3, 6, 4, 7, 4]]","[[2, 2, 2, 2, 2, 2], [0, 0, 0, 2, 2, 2]]","[12, 18]",6,10,2,0.064,0.062,0.002,"[6, 7, 8]","supersize","post-supersize",5,"False",5,6,2,2,10160,"False","implicit-mouselab",14,196568,"supersize",1
"21","mouselab","True","[7, 7, 8, 8, 9, 9, 10, 10, 6, 6, 26, 26, 25, 25, 28, 28]","[[7, 4, 4, 4, 4], [4, 8, 7, 3, 7], [6, 8, 8, 3, 4], [5, 4, 5, 3, 4], [5, 5, 6, 3, 4]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 0, 0, 2, 0]]","[1, 14, 4, 2, 9]",22,1,1,0.067,0.0616666666666667,0.00533333333333333,"[7, 8, 9, 10, 6, 26, 25, 28]","supersize","control",-1,"False",5,5,5,2,70236,"True","implicit-mouselab",4,272833,"supersize",2
"22","mouselab","True","[6, 6, 7, 7, 8, 8, 9, 9, 10, 10]","[[5, 5, 3, 8, 7], [6, 8, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0]]","[1, 29]",28,2,1,0.079,0.0756666666666667,0.00333333333333333,"[6, 7, 8, 9, 10]","supersize","control",-1,"False",5,5,2,2,11117,"True","implicit-mouselab",5,288635,"supersize",2
"23","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[[5, 5, 7, 3, 2], [4, 2, 7, 6, 5]]","[[0, 0, 0, 0, 0], [2, 2, 2, 2, 2]]","[25, 5]",20,3,2,0.07,0.0666666666666667,0.00333333333333333,"[0, 1, 2, 3, 4]","supersize","control",-1,"False",5,5,2,2,8042,"True","implicit-mouselab",7,302061,"supersize",2
"24","mouselab","False","[6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 12, 12, 14, 14]","[[2, 2, 4, 4, 4], [5, 4, 5, 3, 3], [7, 3, 7, 3, 2], [5, 7, 4, 6, 3], [5, 4, 3, 5, 8]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [0, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[5, 9, 7, 4, 5]",8,4,0,0.05,0.0453333333333333,0.00466666666666667,"[6, 7, 8, 9, 10, 12, 14]","supersize","control",-1,"False",5,5,5,2,25015,"True","implicit-mouselab",8,329816,"supersize",2
"25","mouselab","False","[26, 26, 25, 25, 24, 24, 27, 27, 28, 28, 29, 29]","[[7, 4, 5, 3, 5, 5], [7, 4, 8, 6, 6, 5], [4, 6, 5, 4, 4, 6], [2, 4, 2, 3, 5, 2], [5, 7, 4, 5, 4, 3]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0]]","[2, 4, 7, 5, 12]",14,5,1,0.057,0.053,0.004,"[26, 25, 24, 27, 28, 29]","supersize","pre-supersize",2,"False",5,6,5,2,19365,"True","implicit-mouselab",9,350798,"supersize",2
"26","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[[6, 3, 4, 5, 10], [6, 6, 2, 6, 3], [5, 2, 8, 6, 5], [5, 4, 6, 4, 3], [4, 7, 6, 5, 8]]","[[0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[10, 1, 6, 6, 7]",10,6,4,0.069,0.0656666666666667,0.00333333333333333,"[0, 1, 2, 3, 4]","supersize","control",-1,"False",5,5,5,2,10420,"True","implicit-mouselab",10,362822,"supersize",2
"27","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5]","[[7, 6, 8, 6, 3, 4], [4, 4, 7, 6, 3, 6]]","[[0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 2]]","[26, 4]",22,7,2,0.079,0.075,0.004,"[0, 1, 2, 3, 4, 5]","supersize","post-supersize",5,"False",5,6,2,2,13627,"True","implicit-mouselab",11,377899,"supersize",2
"28","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 15, 15, 17, 17]","[[1, 4, 3, 7, 3, 8], [4, 2, 6, 3, 1, 7], [5, 5, 6, 7, 5, 4], [6, 5, 5, 6, 6, 4], [6, 5, 4, 5, 5, 6]]","[[0, 0, 0, 0, 0, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 0, 2, 0], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[13, 2, 12, 1, 2]",26,8,3,0.066,0.0613333333333333,0.00466666666666667,"[0, 1, 2, 3, 4, 15, 17]","supersize","post-supersize",5,"False",5,6,5,2,21444,"True","implicit-mouselab",12,400521,"supersize",2
"29","mouselab","False","[6, 6, 7, 7, 8, 8, 9, 9, 10, 10]","[[5, 7, 7, 9, 4], [4, 5, 4, 7, 9]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0]]","[2, 28]",26,9,4,0.087,0.0836666666666667,0.00333333333333333,"[6, 7, 8, 9, 10]","supersize","control",-1,"False",5,5,2,2,9272,"True","implicit-mouselab",13,411143,"supersize",2
"30","mouselab","False","[4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 6, 6, 10, 10]","[[7, 1, 5, 5, 6, 5], [6, 8, 4, 3, 6, 2]]","[[0, 0, 0, 0, 0, 2], [0, 2, 2, 2, 0, 2]]","[24, 6]",18,10,0,0.068,0.0633333333333333,0.00466666666666667,"[4, 3, 2, 1, 0, 6, 10]","supersize","pre-supersize",5,"False",5,6,2,2,20492,"True","implicit-mouselab",14,432814,"supersize",2
