type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[6, 5, 6, 6, 1], [8, 4, 5, 6, 3], [5, 6, 4, 2, 5]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[12, 16, 2]",2,16,13,0,0.07,0.069,0.001,[5],1,5,3,5170,3,210,207,none,True,2,traffic-light-mouselab,17,357137,5,0,0,0,0
traffic-light-mouselab,False,3,1,"[10, 10, 10]","[[5, 4, 2, 2, 5], [4, 6, 9, 5, 5], [8, 6, 4, 5, 2]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[15, 5, 10]",5,10,14,0,0.058,0.057,0.001,[10],1,5,3,6391,3,175,172,none,True,1,traffic-light-mouselab,18,365175,4,0,0,0,0
traffic-light-mouselab,False,3,1,"[5, 7, 9, 8, 6]","[[7, 5, 9, 6, 7], [5, 7, 4, 4, 3], [5, 5, 6, 7, 7]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[10, 1, 19]",1,18,15,1,0.051,0.04933333333333333,0.0016666666666666668,"[5, 7, 9, 8, 6]",5,5,3,6898,5,152,147,none,False,1,traffic-light-mouselab,19,374822,7,1,5,5,0
traffic-light-mouselab,False,3,1,"[10, 10, 10]","[[7, 5, 6, 6, 6], [0, 5, 2, 5, 3], [6, 4, 4, 6, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[3, 14, 13]",3,14,16,0,0.033,0.032,0.001,[10],1,5,3,9211,3,99,96,none,True,0,traffic-light-mouselab,20,385969,7,1,0,0,0
traffic-light-mouselab,False,3,1,"[0, 2, 4]","[[3, 5, 3, 3, 6], [9, 0, 4, 4, 5], [4, 4, 7, 5, 5]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 6, 19]",5,18,17,4,0.052,0.051,0.001,"[0, 2, 4]",3,5,3,6085,3,155,152,none,False,0,traffic-light-mouselab,21,399325,6,1,3,3,0
traffic-light-mouselab,False,3,1,"[5, 5, 5, 2, 2, 2]","[[7, 7, 6, 7, 1], [4, 7, 6, 4, 3], [3, 3, 5, 6, 8]]","[[3, 3, 0, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[8, 19, 3]",19,18,18,2,0.059,0.056999999999999995,0.002,"[5, 2]",2,5,3,5828,6,177,171,none,True,1,traffic-light-mouselab,22,412745,6,0,3,1,0
traffic-light-mouselab,False,3,1,"[8, 8, 8]","[[8, 4, 7, 7, 8], [4, 6, 4, 7, 6], [5, 7, 2, 5, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 0, 3], [3, 3, 3, 3, 3]]","[6, 15, 9]",15,10,19,3,0.064,0.063,0.001,[8],1,5,3,3733,3,192,189,none,True,1,traffic-light-mouselab,23,424021,7,1,3,1,0
traffic-light-mouselab,False,3,1,"[4, 4, 4]","[[2, 5, 7, 4, 9], [9, 6, 4, 4, 6], [2, 4, 3, 3, 7]]","[[3, 3, 3, 3, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[4, 18, 8]",4,16,20,4,0.067,0.066,0.001,[4],1,5,3,3949,3,200,197,none,True,0,traffic-light-mouselab,24,434439,9,1,3,1,0
traffic-light-mouselab,False,3,1,[3],"[[3, 5, 4, 8, 6], [7, 4, 5, 6, 5], [3, 5, 6, 7, 3]]","[[1, 1, 1, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[15, 3, 12]",15,14,21,3,0.074,0.07366666666666666,0.0003333333333333333,[3],1,5,3,2792,1,222,221,none,False,0,traffic-light-mouselab,25,439520,8,1,1,1,0
traffic-light-mouselab,False,3,1,"[7, 7, 7]","[[5, 3, 4, 4, 5], [5, 5, 10, 4, 7], [5, 5, 2, 2, 6]]","[[3, 3, 3, 3, 3], [3, 3, 0, 3, 3], [3, 3, 3, 3, 3]]","[16, 4, 10]",4,12,22,2,0.041,0.04,0.001,[7],1,5,3,3733,3,124,121,none,True,1,traffic-light-mouselab,26,445118,10,1,3,1,0
