type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,nudge_type,num_baskets,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,trial_type,trial_index,time_elapsed,participant_id
mouselab,True,"[10, 10, 10, 10, 22, 22, 22, 22]","[[3, 4, 7, 5, 7], [4, 6, 4, 4, 0], [3, 6, 2, 8, 4], [4, 5, 1, 6, 7], [7, 7, 6, 6, 4]]","[[4, 4, 4, 4, 4], [4, 0, 4, 0, 4], [0, 4, 4, 0, 0], [0, 0, 0, 0, 4], [4, 0, 0, 4, 0]]","[3, 9, 8, 5, 5]",10,1,3,0.058,0.05533333333333334,0.0026666666666666666,"[10, 22]",2,random,5,5,36990,8,175,167,attentional-mouselab,4,249370,0
mouselab,True,[],"[[3, 4, 6, 3, 4], [8, 6, 4, 3, 3], [5, 6, 9, 5, 6], [5, 5, 3, 8, 6], [2, 6, 8, 7, 3]]","[[4, 0, 0, 4, 4], [0, 0, 4, 4, 4], [4, 0, 4, 0, 0], [4, 4, 4, 4, 4], [4, 0, 0, 4, 0]]","[2, 8, 3, 15, 2]",22,2,0,0.055,0.055,0.0,[],0,random,5,5,49768,0,164,164,attentional-mouselab,5,327924,0
mouselab,False,[],"[[5, 4, 3, 3, 7], [6, 2, 7, 5, 5], [4, 4, 5, 5, 1], [6, 4, 4, 3, 8], [4, 6, 2, 7, 3]]","[[0, 4, 4, 0, 0], [0, 4, 4, 4, 4], [0, 0, 4, 0, 4], [0, 4, 4, 4, 4], [0, 4, 4, 4, 0]]","[8, 3, 8, 2, 9]",14,3,4,0.041,0.041,0.0,[],0,greedy,5,5,18639,0,122,122,attentional-mouselab,7,355373,0
mouselab,False,[],"[[6, 4, 7, 9, 7], [5, 7, 4, 0, 7], [2, 4, 7, 7, 3], [6, 8, 5, 6, 4], [7, 4, 5, 2, 5]]","[[4, 4, 4, 4, 0], [4, 4, 0, 0, 0], [4, 0, 0, 4, 0], [0, 4, 0, 4, 4], [4, 0, 4, 4, 4]]","[3, 3, 6, 12, 6]",12,4,2,0.055,0.055,0.0,[],0,random,5,5,6655,0,165,165,attentional-mouselab,8,363980,0
mouselab,False,[],"[[3, 5, 6, 7, 5], [5, 6, 3, 6, 3], [5, 8, 8, 7, 6], [5, 5, 5, 3, 5], [5, 2, 6, 3, 7]]","[[4, 0, 4, 0, 0], [0, 4, 4, 0, 4], [4, 4, 4, 0, 4], [4, 4, 4, 0, 4], [0, 4, 4, 0, 0]]","[2, 9, 6, 8, 5]",10,5,3,0.05,0.05,0.0,[],0,greedy,5,5,9713,0,149,149,attentional-mouselab,9,377622,0
mouselab,False,[],"[[2, 3, 2, 8, 7], [6, 6, 6, 5, 8], [5, 8, 5, 8, 5], [6, 7, 1, 7, 7], [3, 7, 5, 3, 8]]","[[0, 4, 4, 4, 0], [4, 0, 0, 0, 4], [4, 0, 0, 4, 4], [4, 4, 0, 4, 0], [4, 0, 4, 4, 4]]","[3, 9, 5, 11, 2]",16,6,4,0.07,0.07,0.0,[],0,random,5,5,6519,0,211,211,attentional-mouselab,10,386662,0
mouselab,False,[],"[[5, 7, 5, 6, 7], [4, 5, 8, 4, 4], [5, 5, 5, 4, 6], [6, 3, 3, 7, 4], [6, 6, 4, 6, 5]]","[[4, 0, 0, 0, 4], [4, 0, 4, 0, 4], [4, 0, 0, 4, 4], [4, 0, 4, 4, 4], [4, 0, 4, 4, 0]]","[4, 5, 4, 5, 12]",12,7,1,0.053,0.053,0.0,[],0,greedy,5,5,8119,0,160,160,attentional-mouselab,11,398294,0
mouselab,False,[],"[[3, 3, 4, 5, 6], [5, 6, 5, 5, 2], [6, 4, 6, 6, 4], [4, 5, 4, 5, 3], [8, 3, 8, 6, 4]]","[[4, 4, 0, 0, 0], [4, 4, 4, 0, 0], [4, 4, 4, 0, 4], [0, 4, 0, 4, 4], [0, 0, 4, 4, 4]]","[2, 11, 1, 7, 9]",18,8,0,0.056,0.056,0.0,[],0,random,5,5,13318,0,167,167,attentional-mouselab,12,414430,0
mouselab,False,[],"[[5, 5, 3, 7, 4], [5, 4, 5, 6, 4], [6, 4, 4, 7, 8], [4, 6, 2, 4, 8], [5, 7, 8, 3, 5]]","[[4, 0, 4, 4, 0], [4, 4, 0, 4, 0], [4, 4, 0, 4, 0], [4, 4, 4, 4, 0], [4, 0, 4, 0, 0]]","[8, 5, 2, 11, 4]",14,9,4,0.059,0.059,0.0,[],0,greedy,5,5,11463,0,176,176,attentional-mouselab,13,427694,0
mouselab,False,"[0, 0, 0, 0]","[[5, 5, 3, 2, 7], [4, 3, 3, 4, 4], [7, 5, 9, 7, 8], [3, 3, 6, 3, 4], [4, 4, 5, 4, 3]]","[[0, 4, 0, 0, 4], [4, 4, 4, 0, 4], [0, 0, 4, 0, 0], [4, 0, 4, 0, 4], [4, 4, 4, 0, 4]]","[10, 2, 8, 7, 3]",14,10,4,0.06,0.058666666666666666,0.0013333333333333333,[0],1,greedy,5,5,13730,4,179,175,attentional-mouselab,14,447553,0
