type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,participant_id
traffic-light-mouselab,False,3,1,[],"[[5, 4, 2, 4, 4], [5, 3, 5, 5, 5], [6, 2, 6, 7, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 10, 18]",16,16,1,0.025,0.025,0.0,[],0,5,3,611,0,74,74,hi,2,traffic-light-mouselab,20,34736,2,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[4, 4, 8, 3, 4], [5, 7, 7, 7, 5], [2, 3, 1, 3, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,17,1,0.036,0.036,0.0,[],0,5,3,677,0,108,108,low,1,traffic-light-mouselab,21,36014,7,1,0,2,0
traffic-light-mouselab,False,3,1,[],"[[5, 6, 4, 6, 3], [6, 9, 3, 4, 2], [3, 9, 7, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 10, 18]",16,18,1,0.088,0.088,0.0,[],0,5,3,628,0,264,264,hi,2,traffic-light-mouselab,22,37335,9,1,0,18,0
traffic-light-mouselab,False,3,1,[],"[[7, 7, 5, 5, 4], [4, 7, 7, 3, 5], [7, 5, 4, 7, 9]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 10, 18]",16,19,1,0.058,0.058,0.0,[],0,5,3,635,0,174,174,hi,2,traffic-light-mouselab,23,38540,5,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[4, 4, 4, 7, 2], [5, 3, 2, 5, 6], [6, 3, 7, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 10, 18]",16,20,1,0.031,0.031,0.0,[],0,5,3,523,0,92,92,hi,2,traffic-light-mouselab,24,39548,3,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[5, 5, 4, 4, 4], [4, 7, 5, 4, 3], [7, 4, 6, 4, 2]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,21,1,0.051,0.051,0.0,[],0,5,3,486,0,152,152,medium,1,traffic-light-mouselab,25,40794,7,1,0,10,0
traffic-light-mouselab,False,3,1,[],"[[7, 6, 6, 3, 7], [5, 6, 7, 6, 3], [8, 5, 4, 4, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[10, 18, 2]",16,22,1,0.059,0.059,0.0,[],0,5,3,564,0,178,178,low,2,traffic-light-mouselab,26,41998,5,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[3, 5, 5, 3, 5], [2, 3, 2, 7, 5], [8, 5, 9, 4, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 18, 10]",16,23,1,0.038,0.038,0.0,[],0,5,3,554,0,114,114,medium,2,traffic-light-mouselab,27,43727,5,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[7, 4, 9, 6, 6], [4, 5, 5, 5, 8], [5, 5, 6, 6, 1]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,24,1,0.049,0.049,0.0,[],0,5,3,493,0,148,148,low,0,traffic-light-mouselab,28,45128,4,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[5, 4, 6, 6, 5], [9, 6, 6, 3, 5], [3, 8, 4, 4, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[10, 2, 18]",16,25,1,0.065,0.065,0.0,[],0,5,3,614,0,196,196,hi,2,traffic-light-mouselab,29,46587,8,1,0,18,0
traffic-light-mouselab,False,3,1,[1],"[[4, 7, 5, 4, 4], [4, 5, 4, 6, 4], [8, 1, 6, 6, 4]]","[[3, 2, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,26,1,0.054,0.05366666666666667,0.0003333333333333333,[],0,5,3,966,1,162,161,hi,1,traffic-light-mouselab,30,48216,5,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[1, 4, 2, 2, 6], [4, 6, 5, 6, 5], [6, 5, 4, 6, 1]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,27,1,0.047,0.047,0.0,[],0,5,3,594,0,142,142,hi,0,traffic-light-mouselab,31,50044,4,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[8, 6, 7, 5, 4], [1, 5, 6, 6, 5], [4, 6, 7, 3, 1]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,28,1,0.057,0.057,0.0,[],0,5,3,742,0,170,170,medium,1,traffic-light-mouselab,32,51560,5,0,0,10,0
