type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,chose_nudge,og_baskets,shown_baskets,num_features,cost,reaction_time,naive,trial_type,trial_index,time_elapsed,nudge_type,participant_id
mouselab,True,"[6, 6, 7, 7, 8, 8, 9, 9, 10, 10]","[[5, 5, 3, 8, 7], [6, 8, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0]]","[1, 29]",28,2,1,0.079,0.07566666666666667,0.0033333333333333335,"[6, 7, 8, 9, 10]",supersize,control,-1,False,5,5,2,2,11117,True,implicit-mouselab,5,288635,supersize,2
mouselab,False,"[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[[5, 5, 7, 3, 2], [4, 2, 7, 6, 5]]","[[0, 0, 0, 0, 0], [2, 2, 2, 2, 2]]","[25, 5]",20,3,2,0.07,0.06666666666666668,0.0033333333333333335,"[0, 1, 2, 3, 4]",supersize,control,-1,False,5,5,2,2,8042,True,implicit-mouselab,7,302061,supersize,2
mouselab,False,"[6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 12, 12, 14, 14]","[[2, 2, 4, 4, 4], [5, 4, 5, 3, 3], [7, 3, 7, 3, 2], [5, 7, 4, 6, 3], [5, 4, 3, 5, 8]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [0, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[5, 9, 7, 4, 5]",8,4,0,0.05,0.04533333333333334,0.004666666666666667,"[6, 7, 8, 9, 10, 12, 14]",supersize,control,-1,False,5,5,5,2,25015,True,implicit-mouselab,8,329816,supersize,2
mouselab,False,"[26, 26, 25, 25, 24, 24, 27, 27, 28, 28, 29, 29]","[[7, 4, 5, 3, 5, 5], [7, 4, 8, 6, 6, 5], [4, 6, 5, 4, 4, 6], [2, 4, 2, 3, 5, 2], [5, 7, 4, 5, 4, 3]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0]]","[2, 4, 7, 5, 12]",14,5,1,0.057,0.053000000000000005,0.004,"[26, 25, 24, 27, 28, 29]",supersize,pre-supersize,2,False,5,6,5,2,19365,True,implicit-mouselab,9,350798,supersize,2
mouselab,False,"[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[[6, 3, 4, 5, 10], [6, 6, 2, 6, 3], [5, 2, 8, 6, 5], [5, 4, 6, 4, 3], [4, 7, 6, 5, 8]]","[[0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[10, 1, 6, 6, 7]",10,6,4,0.069,0.06566666666666668,0.0033333333333333335,"[0, 1, 2, 3, 4]",supersize,control,-1,False,5,5,5,2,10420,True,implicit-mouselab,10,362822,supersize,2
mouselab,False,"[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5]","[[7, 6, 8, 6, 3, 4], [4, 4, 7, 6, 3, 6]]","[[0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 2]]","[26, 4]",22,7,2,0.079,0.075,0.004,"[0, 1, 2, 3, 4, 5]",supersize,post-supersize,5,False,5,6,2,2,13627,True,implicit-mouselab,11,377899,supersize,2
mouselab,False,"[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 15, 15, 17, 17]","[[1, 4, 3, 7, 3, 8], [4, 2, 6, 3, 1, 7], [5, 5, 6, 7, 5, 4], [6, 5, 5, 6, 6, 4], [6, 5, 4, 5, 5, 6]]","[[0, 0, 0, 0, 0, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 0, 2, 0], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[13, 2, 12, 1, 2]",26,8,3,0.066,0.06133333333333334,0.004666666666666667,"[0, 1, 2, 3, 4, 15, 17]",supersize,post-supersize,5,False,5,6,5,2,21444,True,implicit-mouselab,12,400521,supersize,2
mouselab,False,"[6, 6, 7, 7, 8, 8, 9, 9, 10, 10]","[[5, 7, 7, 9, 4], [4, 5, 4, 7, 9]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0]]","[2, 28]",26,9,4,0.087,0.08366666666666667,0.0033333333333333335,"[6, 7, 8, 9, 10]",supersize,control,-1,False,5,5,2,2,9272,True,implicit-mouselab,13,411143,supersize,2
mouselab,False,"[4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 6, 6, 10, 10]","[[7, 1, 5, 5, 6, 5], [6, 8, 4, 3, 6, 2]]","[[0, 0, 0, 0, 0, 2], [0, 2, 2, 2, 0, 2]]","[24, 6]",18,10,0,0.068,0.06333333333333334,0.004666666666666667,"[4, 3, 2, 1, 0, 6, 10]",supersize,pre-supersize,5,False,5,6,2,2,20492,True,implicit-mouselab,14,432814,supersize,2
mouselab,True,"[1, 2, 0, 6, 3, 9, 4, 10, 8, 7]","[[6, 5, 4, 7, 7], [4, 2, 6, 2, 3]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[23, 7]",16,1,4,0.061,0.057666666666666665,0.0033333333333333335,[],supersize,control,-1,False,5,5,2,2,12829,True,implicit-mouselab,4,162967,supersize,3
