type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,nudge_type,num_baskets,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,problem_id,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,participant_id
mouselab,True,"[15, 5, 13, 7, 22, 23, 24, 21]","[[6, 4, 6, 4, 5], [4, 6, 5, 6, 4], [2, 6, 5, 6, 2], [1, 7, 7, 5, 3], [7, 3, 3, 7, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 0, 2, 2, 0], [2, 2, 2, 0, 0], [0, 2, 2, 2, 2]]","[4, 5, 1, 7, 13]",16,1,0,0.048,0.04533333333333334,0.0026666666666666666,[],0,random,5,5,48215,8,144,136,3.229837419612501e+18,attentional-mouselab,4,293912,0.0-3.0-1.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,True,"[20, 6, 17, 24, 5, 7]","[[5, 5, 7, 8, 8], [4, 3, 5, 6, 6], [3, 1, 6, 4, 4], [5, 6, 8, 4, 6], [2, 8, 4, 5, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 0], [2, 2, 2, 2, 0], [2, 0, 2, 2, 0], [2, 0, 2, 2, 2]]","[3, 11, 8, 1, 7]",16,2,1,0.039,0.037,0.002,[],0,random,5,5,26628,6,118,112,1.3911885327210973e+17,attentional-mouselab,5,324718,0.0-3.0-2.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[22, 21, 20, 23, 9]","[[3, 2, 1, 4, 5], [2, 8, 8, 4, 5], [1, 4, 4, 9, 7], [6, 7, 5, 4, 4], [6, 3, 5, 4, 8]]","[[2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [0, 2, 2, 0, 2], [2, 2, 2, 2, 0], [2, 2, 2, 2, 0]]","[4, 3, 8, 5, 10]",12,3,4,0.064,0.06233333333333334,0.0016666666666666668,[],0,extreme,5,5,13198,5,191,186,9.191659770910776e+18,attentional-mouselab,7,344136,0.0-3.0-4.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,[],"[[6, 5, 7, 2, 2], [1, 4, 5, 7, 5], [4, 3, 5, 4, 3], [5, 5, 5, 6, 6], [4, 4, 6, 5, 4]]","[[2, 2, 0, 0, 2], [2, 2, 0, 2, 2], [0, 2, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2]]","[10, 4, 4, 10, 2]",16,4,2,0.057,0.057,0.0,[],0,greedy,5,5,5160,0,172,172,2.4108846621983446e+17,attentional-mouselab,8,351822,0.0-3.0-5.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[16, 15, 17, 19, 18]","[[6, 3, 3, 2, 5], [5, 4, 8, 5, 5], [4, 5, 6, 3, 3], [6, 5, 5, 7, 6], [5, 6, 4, 6, 5]]","[[2, 2, 0, 0, 2], [2, 0, 0, 2, 2], [2, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[5, 2, 1, 15, 7]",20,5,2,0.047,0.04533333333333334,0.0016666666666666668,[],0,extreme,5,5,23241,5,140,135,8.253244738370435e+18,attentional-mouselab,9,377188,0.0-3.0-6.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[5, 5]","[[3, 6, 5, 5, 8], [4, 3, 3, 3, 3], [8, 4, 1, 4, 7], [7, 3, 6, 5, 3], [6, 2, 6, 6, 5]]","[[2, 0, 2, 2, 0], [2, 2, 0, 2, 2], [0, 2, 2, 0, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 10, 7, 5, 4]",10,6,0,0.056,0.05533333333333333,0.0006666666666666666,[5],1,greedy,5,5,16177,2,167,165,5.991279848637548e+18,attentional-mouselab,10,395480,0.0-3.0-7.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[8, 8, 5, 5]","[[6, 5, 5, 3, 7], [4, 5, 6, 2, 4], [9, 7, 4, 6, 5], [3, 7, 8, 3, 6], [7, 5, 5, 6, 8]]","[[0, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 0, 2, 2, 2]]","[2, 11, 2, 5, 10]",18,7,0,0.053,0.051666666666666666,0.0013333333333333333,"[8, 5]",2,random,5,5,12862,4,159,155,1.460958009853599e+19,attentional-mouselab,11,410436,0.0-3.0-8.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[10, 10]","[[5, 5, 5, 6, 5], [6, 4, 7, 7, 7], [6, 2, 3, 5, 7], [4, 5, 5, 6, 6], [3, 6, 5, 5, 3]]","[[2, 2, 0, 0, 0], [2, 2, 2, 0, 2], [2, 0, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 2, 2, 2]]","[6, 3, 16, 3, 2]",20,8,0,0.054,0.05333333333333333,0.0006666666666666666,[10],1,greedy,5,5,11226,2,162,160,1.207740341736622e+19,attentional-mouselab,12,423533,0.0-3.0-9.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[13, 13]","[[3, 3, 7, 5, 6], [3, 3, 6, 7, 5], [3, 6, 4, 4, 5], [5, 6, 6, 7, 2], [8, 7, 8, 7, 5]]","[[2, 2, 0, 2, 2], [2, 2, 2, 0, 2], [0, 2, 2, 2, 0], [2, 2, 2, 0, 2], [2, 2, 0, 2, 2]]","[3, 7, 10, 7, 3]",12,9,3,0.058,0.05733333333333333,0.0006666666666666666,[13],1,greedy,5,5,6943,2,174,172,6.71759268850555e+18,attentional-mouselab,13,432549,0.0-3.0-10.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
mouselab,False,"[0, 0, 2, 2]","[[5, 5, 3, 6, 5], [5, 6, 4, 5, 6], [4, 6, 6, 7, 5], [5, 4, 5, 3, 5], [4, 6, 3, 3, 4]]","[[2, 2, 2, 0, 2], [2, 2, 2, 0, 2], [2, 2, 0, 0, 0], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2]]","[10, 7, 4, 3, 6]",10,10,3,0.05,0.04866666666666667,0.0013333333333333333,"[0, 2]",2,random,5,5,14552,4,150,146,7.254012641397054e+18,attentional-mouselab,14,448658,0.0-3.0-11.0,56e94d6e098153000a40d59a,5fe0d3d8e9df3d280f4d1f53,5fe10b69bc4c4db36dbe5349,0
