prolific_pid,total_bonus
56270b0dddff3c0005bcd882,1.64
564d1fedb48dec0005b5191d,1.51
5658f4787d69570012dfe2d1,1.24
582627e157062600014023a1,1.63
5920b1f62b529b00013f3214,1.58
5980f30f9dfc3e00011d7ad2,1.48
5a2f0b6f4b60fe00019b1e12,1.58
5a5aa53be0cf3d000126790a,1.66
5a74d7f717ef3500016ff92a,1.72
5a8b3fa3b093f80001a80576,1.64
5a92d74035237b0001123af1,1.48
5aac77ad899a3b0001680364,1.68
5ae149f7066c510001d47b66,1.31
5b0e8c2bee290600010f622e,1.4
5b662d96b178a90001d16ea6,1.34
5b6780c5f6a18700019e33dc,1.34
5bcfc8e43d5e8100017f5e31,1.45
5be30c9b7b41240001810371,1.49
5c32e9588573070001641744,1.66
5c4684826a7dbc00017c0a87,1.33
5c8f224c9d2bff0001867ce2,1.36
5d3f443eafe77e001ac43d25,1.39
5d586c79280de7001aa794e6,1.54
5d6711a3063180001c910853,1.58
5d7e45cdf1cf8f00156664ba,1.64
5d82994758861000188f76dc,1.41
5da79692e7d12f00165fbe54,1.59
5da8c3e47757fd0017315b85,1.61
5dbf5fe16849043f135aa2c0,1.57
5e048b7f7605feef4b66e5f0,1.57
5e13cba76f6c63a36f2bc2c8,1.4
5e177d5394a2dc087ed10f4e,1.43
5e4b33427f4cef051124ed9f,1.4
5e791a6bee5fd74c820ae96e,1.54
5e8b50812c54aa012a897c8d,1.44
5ea14a3c94b7eb15c7693da7,1.52
5ea25df1485d2e171373295a,1.48
5ea5014c13b2904cced13767,1.52
5ea9efcca825ad16a48353dc,1.7
5ec735fc4131bd17f438838c,1.55
5ec79b5033c65502ce2acade,1.66
5edb011e1d16bd76ccb427a1,1.64
5edbedb8957a4d8833c8df3c,1.28
5ef40b0485da3c1c6ced0e28,1.67
5f00ecc9dd343a1033ce571d,1.64
5f10a6201c1f5f1091f46ed5,1.72
5f16375eafd70a798c33db08,1.46
5f1c1f4e65d0e601321720fd,1.41
5f1ce886fe7ca35bf3a1abb1,1.45
5f2df34046d715145014daa8,1.6
5f39c5e729c84558731bcca3,1.5
5f39eb3c94f71318adf97910,1.44
5f3fe8213fef9609d0a19426,1.43
5f4169e6373fe00ecfe0caa7,1.43
5f580f0854431a374d536934,1.59
5f6dc2d7fa66e824dbf70d24,1.23
5f6e50b66df91337616891fe,1.4
5f759d26df8706210051229d,1.56
5f761f4bf4c10107d66dfc96,1.38
5f77cd8c859b2e34b395216e,1.62
5f7e4d063ab9041293fc7d21,1.71
5f8e26c14662151fcb6d07b7,1.7
