prolific_pid,total_bonus
5fbd2fffbbfb2d070580d353,1.44
5fc5b78d6044f81479c36501,1.61
5fc6df58f380620a09116434,1.56
5fe34ca7f314ef7ab0154995,1.42
602975630f899d5311c47e68,1.46
602ec5b54b3c5c1895d6af41,1.54
602f4985151d50c1a4248f82,1.68
603899001e69972783ab7663,1.63
603d631cffe72fc0ff456cc2,1.47
605d7fc9cdf100b5d88d78fd,1.67
6079f18126e9910e7e7f68d3,1.45
607eef2208137b98e99fe94d,1.45
6095ec160f743e541825a229,1.31
60b06730835bd410c38c50c3,1.5
60b0d8dca43b77543884b0d9,1.47
60ba7d8b669007c3ec5baf4b,1.7
60bc51e33b0296fbdb6a2448,1.55
60be9e6d43e65ef1e1082a0a,1.59
60ce19e4ca51805a4f000afd,1.51
60cea2290d5bb74f1f69f908,1.66
60cf014d41145e39d307785a,1.34
60d2067ced6ee3aaff98a554,1.46
60d2a1e4c92d4f5b911365eb,1.75
60d460ee1809d22f5121ead4,1.42
60d5c363dd49bcb80e528806,1.54
60d6f56b572944aa594f4a85,1.38
60db15521b96844598cb7c24,1.5
60db1f97b3d1bfa31acbf2e4,1.42
60dbcc5c9e0b489b82bf10be,1.48
60dbdcae2b7d4cbb2e4f4dd2,1.6
60dbf15243bf8d31a96ed803,1.56
60dc0bcf44e3c6c623a104a5,1.49
60dc54cefaa241622660e5d8,1.3
60dc631d9b24858ac892985e,1.44
60dcdaed1f8638ab53f72671,1.54
60dd09edc00654d72f6259b3,1.53
60dd3cbf070ec6aa00631aee,1.53
60de0233ab52368089ea8d03,1.44
60de065fb311e8a4237c111f,1.55
60debbaabba760d6bed9328c,1.42
60df1483e557325791798cdf,1.3
60df5a5bd20dc437714f4f4d,1.2
60df7bf82f8e30fd00bf4178,1.5
60dfb25d08a280bb2e685422,1.57
60dfd72817ea2f37bba6b24a,1.48
60e0208b538cfc4df117e08c,1.48
60e0a0e2adad793d20d26f46,1.42
60e0c472844cdd9cdb4ebdd7,1.6
60e0e5bc9e21324eb7594a4a,1.41
60e103aa6dd97d1461a6caf2,1.58
60e1315e0e3c56f9bc3633a1,1.38
60e257a94d65d2fc37ddd752,1.59
60e340333e34ab0583147feb,1.66
60e35503a81c2200b53f6862,1.7
60e35a5a280c3abe8cd63270,1.68
60e37f890326eccbaba6ae6a,1.72
60e3b4d1953b6df612099f97,1.61
60e3cb01a5a92b6e1fc43ed5,1.41
60e3dea3ffbd0e2a90942794,1.41
60e41cdcd563516472f9afe0,1.39
60e44e09cd4dfda3cf57a0dc,1.48
60e469937c6227888c5a734d,1.44
60e46d9e5e4fed43ca7b1739,1.62
60e48b1b028d3852667ffc1a,1.33
60e49c6274c1be146fa85140,1.29
60e4a112c2852f1d35499ecc,1.58
60e4a68fea6bb239a06fc072,1.48
60e4acd0f9354584fa2755ce,1.48
60e4b04f4f64130c0c9505fa,1.42
60e4bcdf85f979aaddffa104,1.47
60e4c09a4b30f16f5a1053e7,1.48
60e4c76dd78475c75456f9f9,1.35
60e4d5f858fea81bd31047c2,1.79
60e4fb1c1f2200f3304c945d,1.4
60e50e0c64d5c895a5483dbe,1.45
60e5107da83c79d398e324b5,1.72
60e560aa87358b3bac3d0175,1.39
60e5942ee38e6c3779bc9b49,1.73
60e59664cdc5c809f2bcfb61,1.66
60e5a36e16827ca254eb251e,1.44
60e5bebceb89fc96b4414bcb,1.59
60e5de61d7cbe360895d5a20,1.57
60e5eceb989f38c746723024,1.7
60e5eded221a73a85f65d4ee,1.39
60e96417f0316966dd3bcf4d,1.31
60ec6da7da8636da1c20f0ae,1.33
60f08bf4930de7acd18cbe91,1.63
60f13321eb3ba82d975e46d3,1.65
