type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,nudge_type,num_baskets,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,trial_type,trial_index,time_elapsed,participant_id
mouselab,True,"[3, 17, 5, 20, 6, 14, 23, 21, 3, 1, 24, 18, 3, 16, 24, 24, 4, 1, 17, 5, 20, 20, 5, 1, 17, 4, 4, 8, 9, 12, 2, 0, 15, 11, 19, 10, 0, 12, 9, 2, 0, 15, 19, 11, 10, 15, 11, 12, 2, 9, 19, 10, 8, 7, 13, 22, 8, 22, 7, 13, 22, 7, 13]","[[2, 6, 9, 2, 5], [2, 6, 5, 5, 9], [2, 7, 3, 7, 6], [4, 5, 7, 3, 3], [6, 2, 6, 6, 6]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[11, 16, 1, 1, 1]",30,1,0,0.022,0.0009999999999999974,0.021,"[6, 14, 23, 21, 18, 3, 16, 24, 20, 5, 1, 17, 4, 0, 15, 11, 12, 2, 9, 19, 10, 8, 22, 7, 13]",25,random,5,5,96744,63,66,3,attentional-mouselab,4,211170,0
mouselab,True,[],"[[1, 2, 8, 4, 7], [6, 5, 4, 6, 5], [5, 5, 4, 7, 7], [3, 4, 7, 5, 7], [7, 3, 9, 5, 7]]","[[3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 3, 1, 3], [3, 3, 3, 3, 3], [1, 3, 1, 3, 1]]","[15, 5, 1, 5, 4]",18,2,0,0.031,0.031,0.0,[],0,greedy,5,5,2474,0,93,93,attentional-mouselab,5,217465,0
mouselab,False,[],"[[2, 6, 9, 2, 5], [2, 6, 5, 5, 9], [2, 7, 3, 7, 6], [4, 5, 7, 3, 3], [6, 2, 6, 6, 6]]","[[3, 3, 3, 3, 3], [3, 1, 3, 3, 3], [3, 3, 3, 3, 1], [3, 1, 3, 1, 3], [3, 1, 3, 1, 3]]","[1, 4, 13, 9, 3]",20,3,3,0.053,0.053,0.0,[],0,random,5,5,2051,0,158,158,attentional-mouselab,7,224260,0
mouselab,False,[],"[[1, 2, 8, 4, 7], [6, 5, 4, 6, 5], [5, 5, 4, 7, 7], [3, 4, 7, 5, 7], [7, 3, 9, 5, 7]]","[[3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 3, 1, 3], [3, 3, 3, 3, 3], [1, 3, 1, 3, 1]]","[7, 6, 4, 2, 11]",12,4,1,0.035,0.035,0.0,[],0,greedy,5,5,3399,0,105,105,attentional-mouselab,8,229941,0
mouselab,False,[],"[[5, 7, 6, 3, 4], [4, 5, 6, 0, 5], [5, 3, 4, 7, 7], [8, 6, 3, 8, 6], [4, 6, 5, 5, 6]]","[[1, 3, 3, 3, 3], [3, 3, 1, 1, 3], [3, 3, 1, 3, 3], [3, 3, 1, 3, 3], [1, 3, 3, 3, 3]]","[5, 5, 1, 3, 16]",20,5,3,0.042,0.042,0.0,[],0,random,5,5,1953,0,126,126,attentional-mouselab,9,233565,0
mouselab,False,[],"[[5, 6, 2, 3, 6], [6, 5, 4, 5, 7], [3, 6, 7, 6, 1], [6, 7, 5, 5, 4], [6, 5, 10, 6, 5]]","[[3, 3, 1, 1, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1], [3, 3, 3, 3, 3], [3, 1, 1, 1, 3]]","[12, 1, 14, 1, 2]",28,6,1,0.059,0.059,0.0,[],0,extreme,5,5,1081,0,178,178,attentional-mouselab,10,236227,0
mouselab,False,[],"[[7, 2, 5, 5, 4], [7, 5, 4, 4, 5], [5, 5, 7, 6, 4], [6, 3, 7, 7, 5], [7, 7, 4, 6, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1], [1, 1, 1, 3, 3], [1, 1, 3, 3, 3]]","[10, 3, 4, 10, 3]",16,7,2,0.057,0.057,0.0,[],0,greedy,5,5,918,0,172,172,attentional-mouselab,11,239155,0
mouselab,False,[],"[[4, 6, 6, 8, 6], [4, 5, 8, 7, 4], [5, 4, 5, 6, 4], [1, 5, 4, 7, 5], [4, 2, 8, 7, 9]]","[[3, 3, 3, 1, 3], [3, 3, 3, 1, 3], [3, 3, 3, 3, 3], [1, 3, 1, 3, 3], [3, 3, 1, 3, 1]]","[10, 11, 3, 4, 2]",18,8,0,0.037,0.037,0.0,[],0,extreme,5,5,1231,0,111,111,attentional-mouselab,12,241865,0
mouselab,False,[],"[[5, 7, 5, 2, 7], [3, 6, 7, 3, 3], [4, 9, 2, 3, 5], [4, 4, 4, 5, 6], [5, 4, 3, 6, 6]]","[[3, 3, 3, 3, 1], [3, 3, 1, 3, 3], [3, 1, 1, 3, 3], [3, 1, 1, 3, 3], [3, 3, 3, 3, 3]]","[6, 2, 6, 2, 14]",16,9,4,0.058,0.058,0.0,[],0,greedy,5,5,915,0,174,174,attentional-mouselab,13,244318,0
mouselab,False,[],"[[5, 5, 5, 1, 4], [7, 4, 5, 4, 6], [5, 6, 4, 6, 4], [4, 2, 5, 5, 4], [5, 4, 6, 6, 4]]","[[1, 1, 1, 1, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 3, 3, 1, 3], [3, 3, 3, 3, 3]]","[2, 3, 8, 8, 9]",14,10,0,0.049,0.049,0.0,[],0,random,5,5,1059,0,148,148,attentional-mouselab,14,247219,0
mouselab,False,[],"[[5, 5, 10, 7, 8], [4, 3, 4, 4, 7], [6, 6, 6, 2, 5], [5, 5, 5, 5, 5], [7, 6, 5, 7, 5]]","[[3, 3, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1], [1, 1, 3, 3, 3]]","[5, 6, 8, 9, 2]",10,11,1,0.049,0.049,0.0,[],0,greedy,5,5,3258,0,148,148,attentional-mouselab,15,252439,0
mouselab,False,[],"[[7, 3, 6, 8, 5], [4, 7, 7, 5, 5], [8, 5, 3, 6, 9], [5, 5, 7, 2, 7], [3, 3, 5, 5, 5]]","[[3, 3, 3, 1, 3], [3, 3, 3, 1, 3], [1, 3, 3, 3, 1], [3, 3, 3, 1, 1], [3, 3, 3, 3, 3]]","[6, 3, 11, 6, 4]",10,12,3,0.054,0.054,0.0,[],0,extreme,5,5,791,0,161,161,attentional-mouselab,16,254833,0
mouselab,False,[],"[[5, 7, 7, 5, 5], [5, 4, 6, 5, 7], [5, 5, 7, 6, 5], [3, 10, 7, 8, 3], [7, 4, 5, 8, 3]]","[[3, 1, 3, 1, 3], [3, 3, 3, 1, 1], [3, 3, 3, 3, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1]]","[12, 9, 2, 5, 2]",18,13,0,0.048,0.048,0.0,[],0,random,5,5,842,0,144,144,attentional-mouselab,17,257016,0
mouselab,False,[],"[[5, 5, 2, 6, 3], [4, 4, 8, 4, 6], [4, 3, 3, 4, 6], [2, 6, 5, 5, 7], [8, 6, 5, 4, 4]]","[[3, 3, 3, 3, 3], [3, 1, 1, 3, 3], [3, 1, 1, 3, 3], [3, 3, 3, 3, 1], [1, 3, 3, 3, 3]]","[7, 10, 4, 3, 6]",10,14,2,0.05,0.05,0.0,[],0,greedy,5,5,1191,0,151,151,attentional-mouselab,18,259866,0
mouselab,False,[],"[[6, 6, 5, 7, 5], [7, 3, 4, 6, 5], [6, 2, 4, 7, 6], [6, 8, 3, 5, 7], [1, 6, 4, 6, 8]]","[[3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 3, 1, 3], [3, 1, 3, 3, 3], [1, 3, 3, 1, 3]]","[2, 2, 6, 17, 3]",22,15,1,0.061,0.061,0.0,[],0,extreme,5,5,898,0,184,184,attentional-mouselab,19,262208,0
mouselab,False,[],"[[3, 6, 3, 7, 2], [3, 3, 6, 4, 5], [5, 5, 5, 5, 3], [5, 7, 6, 3, 5], [7, 4, 7, 4, 0]]","[[1, 3, 1, 1, 1], [3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1]]","[1, 3, 4, 12, 10]",20,16,4,0.03,0.03,0.0,[],0,extreme,5,5,718,0,89,89,attentional-mouselab,20,264288,0
mouselab,False,[],"[[5, 4, 7, 4, 9], [7, 5, 9, 6, 5], [3, 4, 5, 5, 4], [4, 4, 4, 8, 7], [4, 3, 6, 6, 7]]","[[1, 3, 3, 3, 3], [1, 3, 1, 3, 3], [1, 3, 3, 3, 1], [3, 3, 3, 1, 3], [3, 3, 3, 3, 3]]","[1, 11, 7, 9, 2]",18,17,2,0.063,0.063,0.0,[],0,random,5,5,865,0,189,189,attentional-mouselab,21,267784,0
mouselab,False,[],"[[7, 3, 5, 5, 5], [2, 8, 7, 3, 4], [7, 3, 3, 4, 4], [3, 4, 5, 6, 4], [5, 6, 5, 4, 3]]","[[3, 3, 3, 3, 3], [1, 3, 3, 3, 3], [3, 1, 1, 3, 3], [3, 3, 1, 1, 3], [3, 1, 3, 3, 3]]","[2, 10, 3, 10, 5]",16,18,0,0.037,0.037,0.0,[],0,random,5,5,1020,0,110,110,attentional-mouselab,22,270041,0
mouselab,False,[],"[[3, 8, 2, 3, 7], [6, 4, 4, 3, 3], [7, 5, 7, 5, 3], [5, 5, 6, 5, 4], [3, 7, 4, 2, 6]]","[[3, 1, 1, 3, 3], [3, 3, 3, 3, 3], [1, 3, 3, 3, 3], [3, 3, 3, 3, 1], [3, 3, 1, 1, 3]]","[6, 8, 2, 8, 6]",8,19,1,0.057,0.057,0.0,[],0,extreme,5,5,1063,0,172,172,attentional-mouselab,23,272516,0
mouselab,False,[],"[[6, 4, 6, 6, 5], [2, 3, 8, 5, 4], [6, 9, 7, 4, 7], [5, 3, 3, 7, 4], [8, 2, 3, 3, 6]]","[[1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 3, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1]]","[4, 5, 4, 4, 13]",14,20,2,0.048,0.048,0.0,[],0,greedy,5,5,886,0,143,143,attentional-mouselab,24,274476,0
mouselab,False,[],"[[5, 6, 5, 3, 6], [5, 4, 6, 6, 6], [5, 5, 2, 4, 3], [4, 6, 2, 6, 5], [2, 4, 3, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 1, 3, 3], [3, 3, 1, 3, 1], [1, 1, 3, 3, 1]]","[5, 2, 15, 4, 4]",18,21,3,0.044,0.044,0.0,[],0,extreme,5,5,964,0,131,131,attentional-mouselab,25,276713,0
mouselab,False,[],"[[7, 5, 6, 8, 7], [6, 3, 6, 6, 6], [5, 6, 4, 6, 7], [3, 5, 7, 5, 5], [3, 3, 5, 4, 2]]","[[1, 3, 3, 3, 3], [3, 3, 3, 1, 3], [3, 3, 1, 3, 3], [1, 3, 1, 3, 3], [3, 3, 3, 3, 1]]","[5, 11, 8, 5, 1]",14,22,0,0.053,0.053,0.0,[],0,random,5,5,966,0,159,159,attentional-mouselab,26,278881,0
mouselab,False,[],"[[6, 7, 9, 7, 8], [5, 4, 6, 5, 6], [5, 6, 4, 7, 5], [5, 4, 5, 8, 0], [4, 3, 4, 8, 5]]","[[3, 3, 3, 3, 3], [3, 3, 1, 1, 3], [3, 3, 1, 1, 3], [3, 3, 3, 3, 3], [1, 3, 1, 3, 3]]","[18, 3, 3, 5, 1]",24,23,2,0.074,0.074,0.0,[],0,random,5,5,886,0,221,221,attentional-mouselab,27,280900,0
mouselab,False,[],"[[5, 2, 5, 4, 3], [6, 4, 5, 4, 6], [2, 6, 5, 7, 2], [4, 2, 6, 8, 4], [4, 5, 9, 6, 6]]","[[3, 1, 3, 3, 1], [3, 3, 3, 3, 1], [1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 1, 1, 3]]","[3, 15, 6, 5, 1]",18,24,3,0.053,0.053,0.0,[],0,extreme,5,5,885,0,160,160,attentional-mouselab,28,282896,0
