"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"1","mouselab","True","[6, 12, 6, 6, 1, 3, 8, 19]","[[8, 4, 3, 6, 7], [5, 6, 5, 4, 2], [6, 5, 4, 7, 1], [5, 7, 3, 7, 1], [4, 6, 6, 8, 5]]","[[3, 1, 3, 1, 3], [3, 3, 3, 1, 3], [3, 3, 1, 3, 3], [3, 3, 3, 3, 1], [3, 1, 3, 3, 3]]","[1, 11, 7, 2, 9]",18,1,0,0.05,0.0473333333333333,0.00266666666666667,"[12, 6, 1, 3, 8, 19]",6,"random",5,5,34189,8,151,143,1293146560188207872,"attentional-mouselab",4,186187,0
"2","mouselab","True","[0, 21, 17, 18, 23, 3]","[[5, 4, 5, 10, 8], [6, 4, 4, 5, 6], [5, 2, 4, 7, 6], [4, 5, 2, 4, 6], [5, 6, 4, 5, 7]]","[[1, 3, 3, 1, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 1, 1, 3], [3, 1, 3, 1, 3]]","[2, 1, 7, 3, 17]",24,2,4,0.067,0.065,0.002,"[0, 21, 17, 18, 23, 3]",6,"random",5,5,9542,6,201,195,8758225404779841536,"attentional-mouselab",5,198643,0
"3","mouselab","False","[10, 11, 17, 18, 24, 14]","[[5, 3, 6, 6, 6], [3, 4, 5, 4, 4], [3, 8, 5, 6, 7], [6, 4, 7, 5, 2], [3, 2, 5, 6, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 3, 3, 1], [3, 3, 1, 1, 3], [3, 3, 3, 3, 1]]","[6, 6, 5, 5, 8]",4,3,4,0.054,0.052,0.002,"[10, 11, 17, 18, 24, 14]",6,"greedy",5,5,4533,6,161,155,545466927864993664,"attentional-mouselab",7,207747,0
"4","mouselab","False","[16, 17, 18, 23, 24, 0]","[[2, 6, 5, 4, 6], [5, 6, 5, 5, 7], [3, 7, 5, 5, 3], [6, 5, 10, 7, 2], [4, 7, 4, 9, 6]]","[[1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 1, 1, 3], [3, 3, 3, 1, 1]]","[1, 2, 2, 23, 2]",34,4,3,0.068,0.066,0.002,"[16, 17, 18, 23, 24, 0]",6,"extreme",5,5,9024,6,203,197,726467300155741952,"attentional-mouselab",8,218891,0
"5","mouselab","False","[1, 6, 21, 9, 19]","[[2, 2, 6, 6, 5], [7, 9, 4, 3, 5], [6, 5, 3, 6, 6], [7, 7, 4, 3, 8], [7, 5, 5, 6, 2]]","[[1, 1, 3, 3, 3], [3, 1, 3, 3, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1], [3, 1, 3, 3, 3]]","[2, 14, 7, 6, 1]",18,5,4,0.057,0.0553333333333333,0.00166666666666667,"[1, 6, 21, 9, 19]",5,"extreme",5,5,11471,5,172,167,3888920501582865920,"attentional-mouselab",9,232267,0
"6","mouselab","False","[5, 20, 22, 17]","[[5, 3, 3, 5, 5], [4, 3, 9, 5, 7], [3, 6, 5, 4, 1], [3, 5, 9, 5, 2], [5, 6, 8, 2, 4]]","[[3, 3, 3, 3, 3], [1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 1, 1, 3], [1, 3, 1, 3, 1]]","[2, 6, 4, 16, 2]",20,6,2,0.08,0.0786666666666667,0.00133333333333333,"[5, 20, 22, 17]",4,"random",5,5,5934,4,240,236,8178923196335853568,"attentional-mouselab",10,240435,0
"7","mouselab","False","[4, 9, 8, 13]","[[6, 5, 6, 3, 1], [10, 7, 5, 5, 4], [4, 5, 3, 8, 3], [4, 9, 6, 3, 4], [6, 5, 6, 5, 4]]","[[3, 3, 3, 3, 1], [1, 3, 3, 1, 1], [3, 3, 3, 1, 3], [3, 1, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 1, 3, 20, 1]",28,7,3,0.036,0.0346666666666667,0.00133333333333333,"[4, 9, 8, 13]",4,"extreme",5,5,5438,4,109,105,16825304082355234816,"attentional-mouselab",11,259147,0
"8","mouselab","False","[2, 7, 22]","[[5, 6, 7, 6, 5], [3, 4, 6, 5, 6], [4, 3, 5, 4, 6], [5, 1, 4, 2, 7], [3, 9, 7, 7, 5]]","[[3, 3, 1, 3, 3], [1, 3, 1, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 1], [3, 3, 1, 1, 3]]","[8, 2, 7, 9, 4]",12,8,2,0.056,0.055,0.001,"[2, 7, 22]",3,"greedy",5,5,3439,3,167,164,16564513325458694144,"attentional-mouselab",12,264483,0
"9","mouselab","False","[10, 1, 7, 17, 23, 14]","[[7, 5, 3, 7, 6], [4, 7, 6, 6, 7], [8, 5, 5, 4, 2], [6, 5, 10, 5, 4], [5, 6, 6, 5, 5]]","[[3, 1, 3, 3, 3], [3, 3, 1, 3, 3], [1, 3, 3, 3, 1], [3, 3, 1, 3, 3], [3, 3, 3, 1, 3]]","[1, 3, 21, 2, 3]",30,9,2,0.055,0.053,0.002,"[10, 1, 7, 17, 23, 14]",6,"extreme",5,5,6503,6,164,158,10746514697740761088,"attentional-mouselab",13,276987,0
"10","mouselab","False","[11, 1, 7, 22, 20, 3]","[[2, 6, 7, 7, 4], [7, 6, 7, 5, 4], [4, 1, 4, 6, 4], [3, 6, 4, 5, 3], [5, 4, 7, 5, 6]]","[[3, 1, 3, 1, 3], [3, 3, 1, 3, 3], [3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [1, 3, 1, 3, 3]]","[6, 2, 12, 5, 5]",12,10,2,0.053,0.051,0.002,"[11, 1, 7, 22, 20, 3]",6,"greedy",5,5,6462,6,159,153,9511626556933502976,"attentional-mouselab",14,285403,0
