"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","experiment_type","trial_nudge","nudge_index","chose_nudge","og_baskets","shown_baskets","num_features","cost","reaction_time","naive","trial_type","trial_index","time_elapsed","nudge_type","participant_id"
"12","mouselab","False","[]","[[6, 8, 3, 3, 5, 6], [4, 4, 8, 6, 6, 3], [9, 2, 4, 2, 8, 4], [6, 5, 5, 7, 5, 4], [9, 3, 6, 6, 6, 5]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[1, 4, 2, 4, 19]",26,12,4,0.06,0.06,0,"[]","supersize","pre-supersize",4,"True",5,6,5,1,918,"True","implicit-mouselab",16,133485,"supersize",0
"13","mouselab","False","[]","[[3, 7, 6, 4, 4], [7, 7, 5, 4, 2], [5, 4, 4, 3, 6], [5, 6, 5, 5, 4], [5, 2, 5, 7, 9]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[1, 1, 17, 3, 8]",26,13,2,0.045,0.045,0,"[]","supersize","control",-1,"False",5,5,5,1,2384,"True","implicit-mouselab",17,136925,"supersize",0
"14","mouselab","False","[]","[[5, 5, 6, 4, 4, 7], [5, 7, 3, 5, 6, 7], [5, 6, 5, 3, 5, 5], [3, 4, 6, 10, 6, 7], [5, 5, 5, 5, 6, 8]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[2, 7, 4, 8, 9]",12,14,2,0.049,0.049,0,"[]","supersize","pre-supersize",2,"True",5,6,5,1,1687,"True","implicit-mouselab",18,139349,"supersize",0
"15","mouselab","False","[]","[[3, 5, 6, 5, 5], [6, 3, 8, 7, 6], [5, 4, 7, 7, 5], [6, 8, 6, 5, 5], [6, 6, 2, 5, 6]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[7, 3, 10, 4, 6]",10,15,0,0.05,0.05,0,"[]","supersize","control",-1,"False",5,5,5,4,1184,"True","implicit-mouselab",19,141525,"supersize",0
"16","mouselab","False","[]","[[5, 5, 7, 2, 4], [4, 4, 7, 5, 3], [5, 7, 5, 10, 6], [6, 4, 5, 5, 5], [3, 7, 6, 4, 4]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[1, 4, 7, 14, 4]",18,16,1,0.051,0.051,0,"[]","supersize","control",-1,"False",5,5,5,1,911,"True","implicit-mouselab",20,143222,"supersize",0
"17","mouselab","False","[]","[[6, 3, 5, 7, 5, 7], [6, 6, 9, 4, 3, 5], [8, 6, 1, 4, 3, 6], [6, 8, 7, 7, 5, 2], [5, 4, 6, 6, 6, 3]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[14, 7, 5, 2, 2]",18,17,5,0.058,0.058,0,"[]","supersize","post-supersize",5,"True",5,6,5,4,1991,"True","implicit-mouselab",21,146270,"supersize",0
"18","mouselab","False","[]","[[2, 5, 5, 5, 5], [7, 2, 3, 3, 9], [5, 6, 6, 5, 4], [1, 6, 5, 6, 4], [5, 3, 5, 3, 5]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[14, 1, 6, 8, 1]",20,18,2,0.051,0.051,0,"[]","supersize","control",-1,"False",5,5,5,1,774,"True","implicit-mouselab",22,148054,"supersize",0
"19","mouselab","False","[]","[[3, 3, 5, 2, 4], [6, 2, 2, 5, 5], [3, 2, 6, 6, 5], [8, 6, 6, 4, 7], [5, 4, 5, 5, 6]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[1, 3, 2, 5, 19]",26,19,3,0.048,0.048,0,"[]","supersize","control",-1,"False",5,5,5,4,848,"True","implicit-mouselab",23,149797,"supersize",0
"20","mouselab","False","[]","[[7, 3, 7, 6, 5, 8], [3, 6, 6, 6, 5, 4], [6, 5, 6, 5, 5, 7], [8, 6, 4, 6, 2, 1], [8, 4, 4, 3, 5, 4]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[1, 2, 4, 22, 1]",32,20,1,0.057,0.057,0,"[]","supersize","pre-supersize",5,"False",5,6,5,4,1071,"True","implicit-mouselab",24,151861,"supersize",0
"21","mouselab","False","[]","[[4, 4, 5, 9, 3, 6], [6, 5, 3, 3, 4, 5], [3, 7, 4, 6, 3, 7], [5, 8, 6, 4, 4, 8], [4, 3, 4, 4, 3, 2]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[17, 3, 2, 5, 3]",22,21,3,0.069,0.069,0,"[]","supersize","pre-supersize",0,"False",5,6,5,1,535,"True","implicit-mouselab",25,153525,"supersize",0
