type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,num_highlight_reveals,participant_id
traffic-light-mouselab,False,3,1,[],"[[7, 6, 5, 5, 3], [5, 5, 6, 3, 6], [7, 7, 4, 8, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,17,2,0.047,0.047,0.0,[],0,5,3,3259,0,142,142,low,True,0,traffic-light-mouselab,21,394809,5,0,0,2,0,0
traffic-light-mouselab,False,3,1,[],"[[5, 7, 3, 3, 3], [6, 5, 4, 5, 5], [6, 5, 3, 6, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,18,3,0.049,0.049,0.0,[],0,5,3,1732,0,148,148,hi,True,2,traffic-light-mouselab,22,398098,6,1,0,18,0,0
traffic-light-mouselab,False,3,1,[],"[[4, 4, 8, 5, 6], [6, 5, 6, 5, 4], [5, 2, 3, 5, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,19,0,0.053,0.053,0.0,[],0,5,3,1890,0,158,158,low,True,0,traffic-light-mouselab,23,401376,4,0,0,2,0,0
traffic-light-mouselab,False,3,1,[],"[[4, 4, 7, 7, 4], [2, 5, 8, 7, 5], [6, 2, 5, 4, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,20,1,0.045,0.045,0.0,[],0,5,3,1301,0,134,134,medium,True,0,traffic-light-mouselab,24,403906,4,0,0,10,0,0
traffic-light-mouselab,False,3,1,"[3, 0, 4, 2, 1]","[[2, 9, 4, 3, 6], [5, 6, 5, 4, 5], [5, 3, 8, 4, 5]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,21,1,0.068,0.06633333333333334,0.0016666666666666668,"[3, 0, 4, 2, 1]",5,5,3,6352,5,204,199,hi,False,0,traffic-light-mouselab,25,411769,9,1,5,18,5,0
traffic-light-mouselab,False,3,1,"[6, 9]","[[3, 3, 4, 6, 7], [1, 2, 6, 3, 9], [5, 8, 4, 1, 8]]","[[3, 3, 3, 3, 3], [1, 0, 1, 1, 0], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,22,4,0.083,0.08233333333333334,0.0006666666666666666,"[6, 9]",2,5,3,3306,2,248,246,medium,False,1,traffic-light-mouselab,26,416713,9,1,2,10,2,0
traffic-light-mouselab,False,3,1,"[11, 14, 13, 10, 12]","[[6, 5, 9, 6, 5], [10, 8, 3, 6, 6], [3, 4, 4, 6, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[10, 18, 2]",16,23,3,0.06,0.058333333333333334,0.0016666666666666668,"[11, 14, 13, 10, 12]",5,5,3,7052,5,180,175,low,False,2,traffic-light-mouselab,27,425107,6,1,5,2,5,0
traffic-light-mouselab,False,3,1,"[5, 9, 7]","[[7, 6, 5, 5, 5], [2, 6, 9, 5, 5], [7, 7, 4, 4, 5]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 0], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,24,2,0.057,0.056,0.001,"[5, 9, 7]",3,5,3,4134,3,172,169,medium,False,1,traffic-light-mouselab,28,430632,9,1,3,10,3,0
traffic-light-mouselab,False,3,1,[],"[[6, 4, 5, 5, 5], [4, 6, 6, 8, 3], [2, 4, 5, 2, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,25,0,0.045,0.045,0.0,[],0,5,3,2158,0,136,136,hi,True,1,traffic-light-mouselab,29,442858,4,0,0,18,0,0
traffic-light-mouselab,False,3,1,"[5, 8, 7, 6, 9]","[[4, 2, 8, 3, 3], [5, 3, 5, 1, 4], [6, 6, 8, 1, 7]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[18, 2, 10]",16,26,2,0.078,0.07633333333333334,0.0016666666666666668,"[5, 8, 7, 6, 9]",5,5,3,6403,5,234,229,low,False,1,traffic-light-mouselab,30,451073,5,1,5,2,5,0
