type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_variance,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,trial_nudge,nudge_index,accepted_default,accepted_supersize,chose_default,chose_supersize,num_baskets,num_features,cost,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_type,participant_id
mouselab,False,[],"[[5, 4, 3, 3, 2, 5, 8], [4, 6, 7, 4, 5, 4, 7], [6, 2, 8, 6, 4, 8, 5], [4, 5, 4, 5, 5, 8, 2], [2, 7, 6, 5, 4, 4, 4]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[3, 1, 2, 2, 2]",0.4,16,0,0.043,0.043,0.0,[],default,0,True,False,True,False,7,5,2,implicit-mouselab,18,227262,0.0-3.0-15.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[3, 8], [5, 7], [5, 4], [7, 2], [3, 3]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 4, 1, 2, 2]",1.2,17,1,0.05,0.05,0.0,[],default,0,False,False,False,False,2,5,3,implicit-mouselab,19,231674,0.0-3.0-16.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[3, 5, 5, 4, 6, 6, 6], [5, 5, 4, 3, 1, 1, 6], [5, 5, 4, 2, 6, 6, 4], [4, 3, 4, 5, 4, 3, 1], [6, 8, 6, 4, 5, 5, 5]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[2, 2, 2, 2, 2]",0.0,18,4,0.044,0.044,0.0,[],control,-1,False,False,False,False,7,5,1,implicit-mouselab,20,233941,0.0-3.0-17.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[8, 7, 5, 5, 5, 5, 4], [3, 2, 4, 4, 5, 3, 2]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[9, 1]",16.0,19,3,0.049,0.049,0.0,[],control,-1,False,False,False,False,7,2,2,implicit-mouselab,21,235448,0.0-3.0-18.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 6], [4, 3], [3, 5], [5, 7], [8, 8]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 5, 1, 2, 1]",2.4,20,1,0.048,0.048,0.0,[],control,-1,False,False,False,False,2,5,3,implicit-mouselab,22,237131,0.0-3.0-19.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[7, 4, 6, 3, 6, 6, 5], [8, 6, 4, 5, 7, 5, 2]]","[[3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3]]","[8, 2]",9.0,21,0,0.072,0.072,0.0,[],default,0,True,False,True,False,7,2,3,implicit-mouselab,23,245631,0.0-3.0-20.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[7, 5, 6, 5, 6, 5, 8], [4, 9, 4, 7, 6, 5, 5], [5, 7, 5, 7, 5, 5, 7], [5, 4, 4, 6, 6, 4, 6], [4, 5, 5, 5, 5, 3, 5]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[3, 2, 1, 3, 1]",0.8,22,4,0.058,0.058,0.0,[],control,-1,False,False,False,False,7,5,1,implicit-mouselab,24,247489,0.0-3.0-21.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 3, 8, 4, 4, 5, 5], [6, 5, 6, 5, 3, 5, 3], [8, 5, 5, 1, 4, 4, 6], [3, 1, 3, 3, 2, 3, 8], [5, 10, 4, 10, 3, 4, 2]]","[[4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4]]","[1, 1, 4, 2, 2]",1.2,23,6,0.052,0.052,0.0,[],control,-1,False,False,False,False,7,5,4,implicit-mouselab,25,249549,0.0-3.0-22.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[6, 7, 3, 4, 3, 6, 6], [3, 4, 7, 2, 5, 3, 5], [6, 6, 10, 2, 8, 7, 5], [8, 7, 6, 6, 4, 5, 2], [8, 4, 4, 3, 6, 8, 4]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[3, 3, 1, 1, 2]",0.8,24,1,0.054,0.054,0.0,[],control,-1,False,False,False,False,7,5,2,implicit-mouselab,26,251300,0.0-3.0-23.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,True,"[1, 1, 4, 4, 4, 13, 13]","[[7, 4, 5, 8, 4, 4, 5], [2, 3, 6, 6, 8, 9, 5]]","[[2, 0, 2, 2, 0, 2, 2], [2, 2, 2, 2, 2, 2, 0]]","[3, 7]",4.0,1,6,0.05,0.044000000000000004,0.006,"[1, 4, 13]",control,-1,False,False,False,False,7,2,2,implicit-mouselab,4,118501,0.0-3.0-1.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,True,[],"[[1, 4], [6, 4], [3, 4], [3, 6], [4, 5]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 3, 1, 2, 3]",0.8,2,1,0.047,0.047,0.0,[],control,-1,False,False,False,False,2,5,3,implicit-mouselab,5,122650,0.0-3.0-2.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[5, 4, 6, 1, 5, 6, 3], [3, 4, 6, 6, 4, 4, 7]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[4, 6]",1.0,5,1,0.04,0.04,0.0,[],default,1,True,False,True,False,7,2,1,implicit-mouselab,7,127441,0.0-3.0-4.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[6, 6], [7, 1], [5, 7], [5, 5], [6, 6]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[2, 1, 4, 1, 2]",1.2,6,1,0.058,0.058,0.0,[],default,1,True,False,True,False,2,5,1,implicit-mouselab,8,132192,0.0-3.0-5.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[3, 3], [6, 5], [4, 7], [5, 6], [5, 9]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 1, 3, 4, 1]",1.6,7,1,0.062,0.062,0.0,[],default,1,True,False,True,False,2,5,3,implicit-mouselab,9,136407,0.0-3.0-6.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[3, 5], [7, 6]]","[[2, 2], [2, 2]]","[7, 3]",4.0,8,1,0.053,0.053,0.0,[],control,-1,False,False,False,False,2,2,2,implicit-mouselab,10,140042,0.0-3.0-7.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[7, 6, 6, 5, 6, 5, 8], [4, 6, 6, 4, 3, 4, 6]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[2, 8]",9.0,9,3,0.042,0.042,0.0,[],default,3,True,False,True,False,7,2,1,implicit-mouselab,11,142725,0.0-3.0-8.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
mouselab,False,[],"[[3, 5], [6, 6]]","[[2, 2], [2, 2]]","[8, 2]",9.0,10,0,0.036,0.036,0.0,[],control,-1,False,False,False,False,2,2,2,implicit-mouselab,12,145771,0.0-3.0-9.0,5d11cf66e555d5001ac10ceb,5faed821735c4c09a01dbe66,5faed946eb2a430991990c33,default,2
