"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"12","mouselab","False","[21, 21]","[[7, 7, 4, 5, 4], [5, 5, 8, 7, 8], [5, 4, 5, 6, 2], [6, 6, 5, 5, 6], [6, 8, 8, 5, 6]]","[[2, 0, 2, 0, 2], [2, 2, 0, 2, 2], [0, 0, 2, 2, 2], [2, 2, 0, 2, 2], [2, 2, 2, 2, 2]]","[10, 2, 1, 2, 15]",26,12,1,0.072,0.0713333333333333,0.000666666666666667,"[21]",1,"random",5,5,8233,2,216,214,9457994541270157312,"attentional-mouselab",16,466871,0
"13","mouselab","False","[12, 12]","[[7, 1, 5, 5, 7], [6, 3, 5, 5, 5], [7, 7, 6, 2, 5], [6, 6, 9, 9, 5], [4, 7, 3, 7, 4]]","[[0, 2, 2, 2, 0], [0, 2, 2, 2, 2], [0, 2, 2, 2, 2], [0, 2, 2, 2, 2], [2, 2, 2, 0, 2]]","[3, 5, 18, 1, 3]",24,13,2,0.055,0.0543333333333333,0.000666666666666667,"[12]",1,"greedy",5,5,6645,2,166,164,15811426806426839040,"attentional-mouselab",17,475484,0
"14","mouselab","False","[21, 21, 24, 24]","[[6, 5, 4, 7, 8], [3, 8, 6, 4, 3], [5, 5, 3, 4, 7], [2, 5, 6, 6, 8], [5, 3, 4, 4, 0]]","[[2, 2, 2, 2, 0], [2, 0, 2, 2, 2], [0, 2, 2, 2, 0], [2, 2, 2, 0, 0], [2, 2, 2, 2, 2]]","[7, 6, 3, 5, 9]",8,14,1,0.05,0.0486666666666667,0.00133333333333333,"[21, 24]",2,"greedy",5,5,15353,4,150,146,16794282600629385216,"attentional-mouselab",18,493109,0
"15","mouselab","False","[0, 0, 5, 5]","[[6, 2, 6, 2, 4], [7, 6, 3, 6, 6], [4, 3, 2, 4, 4], [5, 3, 9, 5, 6], [7, 7, 3, 6, 8]]","[[2, 2, 2, 2, 2], [2, 2, 0, 0, 2], [2, 0, 0, 2, 2], [2, 2, 2, 2, 0], [2, 0, 2, 2, 2]]","[10, 6, 5, 4, 5]",8,15,0,0.059,0.0576666666666667,0.00133333333333333,"[0, 5]",2,"random",5,5,8896,4,177,173,16776300132985505792,"attentional-mouselab",19,503878,0
"16","mouselab","False","[5, 5, 7, 7, 13, 13]","[[2, 4, 7, 4, 5], [2, 6, 1, 6, 7], [6, 3, 5, 6, 5], [4, 7, 4, 3, 4], [5, 6, 6, 4, 5]]","[[2, 0, 2, 2, 2], [2, 2, 2, 0, 2], [2, 0, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 0, 0, 2]]","[4, 13, 10, 2, 1]",22,16,3,0.055,0.053,0.002,"[5, 7, 13]",3,"random",5,5,11071,6,164,158,9012231791750736896,"attentional-mouselab",20,516823,0
"17","mouselab","False","[]","[[9, 8, 4, 5, 4], [7, 1, 3, 5, 5], [8, 4, 4, 6, 4], [3, 7, 4, 2, 3], [6, 6, 7, 3, 9]]","[[0, 2, 2, 2, 0], [2, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 2, 2, 0]]","[15, 2, 2, 4, 7]",20,17,0,0.073,0.073,0,"[]",0,"extreme",5,5,3542,0,219,219,1.6512119593613e+19,"attentional-mouselab",21,522176,0
"18","mouselab","False","[]","[[6, 3, 2, 6, 3], [7, 7, 3, 6, 4], [1, 6, 6, 5, 8], [4, 8, 4, 3, 2], [6, 6, 6, 4, 4]]","[[2, 2, 2, 2, 0], [2, 2, 0, 2, 2], [0, 2, 2, 2, 0], [2, 2, 2, 0, 0], [2, 2, 2, 2, 2]]","[3, 6, 13, 7, 1]",16,18,4,0.052,0.052,0,"[]",0,"extreme",5,5,7402,0,155,155,2810359681803398144,"attentional-mouselab",22,531262,0
"19","mouselab","False","[24, 24]","[[8, 6, 4, 4, 5], [5, 4, 5, 7, 3], [5, 5, 4, 3, 7], [5, 6, 6, 6, 9], [4, 3, 5, 7, 6]]","[[2, 2, 2, 2, 0], [2, 2, 2, 2, 0], [2, 2, 2, 0, 0], [2, 2, 2, 2, 0], [2, 2, 2, 0, 2]]","[6, 4, 9, 3, 8]",10,19,4,0.06,0.0593333333333333,0.000666666666666667,"[24]",1,"greedy",5,5,12824,2,180,178,8060173892147906560,"attentional-mouselab",23,545981,0
"20","mouselab","False","[6, 6, 21, 21, 5, 5, 9, 9, 8, 8]","[[3, 6, 5, 6, 5], [4, 6, 3, 5, 5], [5, 5, 2, 3, 5], [7, 5, 7, 5, 5], [6, 4, 5, 6, 5]]","[[0, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 0, 0, 0, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 16, 3, 2, 7]",22,20,1,0.054,0.0506666666666667,0.00333333333333333,"[6, 21, 5, 9, 8]",5,"extreme",5,5,19651,10,161,151,174479116310925024,"attentional-mouselab",24,567125,0
"21","mouselab","False","[16, 16]","[[5, 6, 2, 4, 3], [5, 6, 5, 6, 3], [7, 3, 4, 4, 3], [7, 3, 5, 6, 5], [4, 6, 4, 5, 5]]","[[2, 2, 2, 0, 2], [2, 2, 0, 2, 2], [2, 2, 2, 2, 0], [2, 2, 2, 0, 0], [0, 2, 2, 2, 2]]","[5, 3, 2, 12, 8]",16,21,3,0.053,0.0523333333333333,0.000666666666666667,"[16]",1,"random",5,5,7960,2,158,156,8542130017440407552,"attentional-mouselab",25,576758,0
